Day,Open,High,Low,Close,Adj Close,Volume
219,11342.9609,11397.8448,11313.6662,11343.1867,11343.1867,38071666
220,11126.0416,11266.5355,11103.3421,11241.4104,11241.4104,32330611
221,11277.0143,11330.3989,11226.0749,11310.4967,11310.4967,32822731
222,11252.8753,11351.8541,11239.8331,11338.287,11338.287,37544530
223,11483.8703,11504.1791,11404.4483,11475.7258,11475.7258,38262766
224,11482.6008,11576.5281,11480.5165,11555.7058,11555.7058,34603643
225,11701.2394,11741.5162,11638.5439,11649.7578,11649.7578,30075884
226,11677.4397,11723.1684,11654.8923,11717.3291,11717.3291,47840843
227,11810.3471,11846.5664,11769.0638,11781.8351,11781.8351,32317885
228,11712.6834,11734.8512,11452.5026,11453.8751,11453.8751,39788363
229,11283.6722,11399.8585,11259.6322,11368.8165,11368.8165,38541497
230,11375.0266,11395.1567,11135.2717,11236.6017,11236.6017,41004345
231,11321.2671,11368.9659,11249.4488,11339.5379,11339.5379,37500471
232,11014.9302,11038.856,10937.6844,10963.2793,10963.2793,38574024
233,11067.5733,11070.6848,10957.9391,11002.5303,11002.5303,39063969
234,11180.2645,11328.5099,11165.7685,11313.4687,11313.4687,41837320
235,11295.6734,11356.0113,11254.4107,11327.3761,11327.3761,36018822
236,11378.7093,11437.7877,11228.8326,11239.8178,11239.8178,52531459
237,11176.4941,11266.1177,11161.8333,11236.6565,11236.6565,30531472
238,11059.0207,11087.5315,10968.5388,10975.8211,10975.8211,38671459
239,10978.6532,11010.6153,10860.8733,10916.6267,10916.6267,36606026
240,10871.1079,10903.2349,10611.1002,10668.4643,10668.4643,44025780
241,10526.1598,10538.7175,10368.6962,10451.3691,10451.3691,50820824
242,10360.0114,10360.0114,10010.5126,10030.2945,10030.2945,1
243,10109.6672,10228.9556,9924.2557,10122.4836,10122.4836,38326296
244,10223.1696,10485.3509,10220.8716,10415.8597,10415.8597,45088953
245,10387.1469,10452.9842,10357.0429,10416.7548,10416.7548,31134988
246,10234.9612,10254.462,10019.5042,10186.4451,10186.4451,39753930
247,10438.921,10607.2509,10426.4597,10488.3093,10488.3093,34798725
248,10546.2758,10610.5453,10484.5821,10535.5177,10535.5177,41136426
249,10601.3638,10668.0177,10583.0922,10632.9914,10632.9914,35626275
250,10607.6796,10646.9473,10519.2681,10551.645,10551.645,33533893
251,10570.1638,10618.827,10569.2738,10603.1037,10603.1037,37057578
252,10596.6306,10756.8804,10565.0519,10748.519,10748.519,38330678
253,10667.1291,10669.4772,10536.2764,10598.1927,10598.1927,34086125
254,10745.723,10760.1172,10640.1868,10671.4699,10671.4699,28676034
255,10721.8276,10831.4447,10712.0448,10823.0398,10823.0398,32500116
256,10887.1686,10910.3017,10798.3302,10819.7774,10819.7774,28126991
257,10870.6061,10889.3792,10759.7755,10793.5907,10793.5907,25681830
258,10718.1329,10840.1522,10710.1579,10791.644,10791.644,1
259,10704.7445,10764.506,10684.5681,10740.446,10740.446,25835099
260,10799.1282,10927.9241,10799.1282,10890.8324,10890.8324,33382756
261,10844.7806,10851.6762,10781.1439,10793.9244,10793.9244,25352208
